Blur,Brightness,Contrast,Rotation,Scaling,Shearing,Translation
B1-5,20,1,-20,60,HS:-1.0,-100
B1-7,30,1.5,-10,70,HS:-1.0,-90
B1-9,40,2,0,80,HS:-1.0,-80
B2-3,50,2.5,10,90,HS:-1.0,-70
B2-5,60,3,20,100,HS:-1.0,-60
B2-7,70,0.5,30,110,HS:-1.0,-50
B2-9,80,1,-30,120,HS:-1.0,-40
B3-3,90,1.5,-20,130,HS:-1.0,-30
B3-5,100,2,-10,140,HS:-1.0,-20
B3-7,10,2.5,0,150,HS:-1.0,-10
B3-9,20,3,10,50,HS:-1.0,0
B1-3,30,0.5,20,60,HS:-1.0,10
B1-5,40,2.5,30,70,HS:-1.0,20
B1-7,50,3,-30,80,HS:-1.0,30
B1-9,60,0.5,-20,90,HS:-1.0,40
B2-3,70,1,-10,100,HS:-1.0,50
B2-5,80,1.5,0,110,HS:-1.0,60
B2-7,90,2,10,120,HS:-1.0,70
B2-9,100,2.5,20,130,HS:-1.0,80
B3-3,10,3,30,140,HS:-1.0,90
B3-5,20,0.5,-30,150,HS:-1.0,100
B3-7,30,2,30,50,HS:-0.9,-100
B3-9,40,1.5,-30,60,HS:-0.9,-90
B1-3,50,1,-20,70,HS:-0.9,-80
B1-5,60,0.5,-10,80,HS:-0.9,-70
B1-7,70,1,0,90,HS:-0.9,-60
B1-9,80,2.5,10,100,HS:-0.9,-50
B2-3,90,3,20,110,HS:-0.9,-40
B2-5,100,0.5,30,120,HS:-0.9,-30
B2-7,10,1,-30,130,HS:-0.9,-20
B2-9,20,1.5,-20,140,HS:-0.9,-10
B3-3,30,2.5,-10,150,HS:-0.9,0
B3-5,40,3,-20,50,HS:-0.9,10
B3-7,50,3,-10,60,HS:-0.9,20
B3-9,60,2,0,70,HS:-0.9,30
B1-3,70,1.5,10,80,HS:-0.9,40
B1-5,80,2,20,90,HS:-0.9,50
B1-7,90,0.5,30,100,HS:-0.9,60
B1-9,100,1,-30,110,HS:-0.9,70
B2-3,10,1.5,-20,120,HS:-0.9,80
B2-5,20,2,-10,130,HS:-0.9,90
B2-7,30,3,0,140,HS:-0.9,100
B2-9,40,0.5,10,150,HS:-0.8,-100
B3-3,50,1,20,50,HS:-0.8,-90
B3-5,60,2.5,30,60,HS:-0.8,-80
B3-7,70,2,-30,70,HS:-0.8,-70
B3-9,80,2.5,-20,80,HS:-0.8,-60
B1-3,90,3,-10,90,HS:-0.8,-50
B1-5,100,1.5,0,100,HS:-0.8,-40
B1-7,10,2,10,110,HS:-0.8,-30
B1-9,20,2.5,20,120,HS:-0.8,-20
B2-3,30,0.5,30,130,HS:-0.8,-10
B2-5,40,1,-30,140,HS:-0.8,0
B2-7,50,1.5,30,150,HS:-0.8,10
B2-9,60,0.5,0,50,HS:-0.8,20
B3-3,70,1,10,60,HS:-0.8,30
B3-5,80,3,20,70,HS:-0.8,40
B3-7,90,2.5,-30,80,HS:-0.8,50
B3-9,100,2,-20,90,HS:-0.8,60
B1-3,10,2.5,-10,100,HS:-0.8,70
B1-5,30,3,10,110,HS:-0.8,80
B1-7,40,1.5,20,120,HS:-0.8,90
B1-9,50,2,0,130,HS:-0.8,100
B2-3,60,1.5,-30,140,HS:-0.7,-100
B2-5,70,2.5,-20,150,HS:-0.7,-90
B2-7,80,0.5,-10,50,HS:-0.7,-80
B2-9,90,1,0,60,HS:-0.7,-70
B3-3,100,2,10,70,HS:-0.7,-60
B3-5,10,1,20,80,HS:-0.7,-50
B3-7,20,1.5,30,90,HS:-0.7,-40
B3-9,30,1,-30,100,HS:-0.7,-30
B1-3,40,3,-20,110,HS:-0.7,-20
B1-5,50,3,-10,120,HS:-0.7,-10
B1-7,60,0.5,10,130,HS:-0.7,0
B1-9,70,2.5,20,140,HS:-0.7,10
B2-3,80,2,20,150,HS:-0.7,20
B2-5,90,1.5,30,50,HS:-0.7,30
B2-7,100,2,0,60,HS:-0.7,40
B2-9,10,0.5,30,70,HS:-0.7,50
B3-3,20,1,-30,80,HS:-0.7,60
B3-5,30,1.5,-20,90,HS:-0.7,70
B3-7,40,0.5,-10,100,HS:-0.7,80
B3-9,50,0.5,-10,110,HS:-0.7,90
B1-3,60,1,0,120,HS:-0.7,100
B1-7,80,2.5,20,130,HS:-0.6,-100
B1-9,90,3,10,140,HS:-0.6,-90
B2-3,100,3,-30,150,HS:-0.6,-80
B2-5,10,1.5,-20,50,HS:-0.6,-70
B2-7,20,0.5,0,60,HS:-0.6,-60
B2-9,30,2,-10,70,HS:-0.6,-50
B3-3,40,1,30,80,HS:-0.6,-40
B3-5,70,3,0,90,HS:-0.6,-30
B3-7,50,1.5,10,100,HS:-0.6,-20
B3-9,60,2.5,20,110,HS:-0.6,-10
B1-3,70,2,30,120,HS:-0.6,0
B1-5,90,3,-30,130,HS:-0.6,10
B1-7,100,0.5,-20,140,HS:-0.6,20
B1-9,10,2.5,-10,150,HS:-0.6,30
B2-3,20,2.5,-30,50,HS:-0.6,40
B2-5,30,1.5,10,60,HS:-0.6,50
B2-7,40,2.5,20,70,HS:-0.6,60
B2-9,50,3,30,80,HS:-0.6,70
B3-3,80,1,0,90,HS:-0.6,80
B3-5,90,2,10,100,HS:-0.6,90
B3-7,100,1,-20,110,HS:-0.6,100
B3-9,10,3,-10,120,HS:-0.5,-100
B1-3,20,0.5,0,130,HS:-0.5,-90
B1-5,70,1.5,10,140,HS:-0.5,-80
B1-7,80,1,30,150,HS:-0.5,-70
B1-9,30,1.5,-30,50,HS:-0.5,-60
B2-3,40,2,-20,60,HS:-0.5,-50
B2-5,50,2.5,20,70,HS:-0.5,-40
B2-7,60,2.5,-20,80,HS:-0.5,-30
B2-9,70,0.5,0,90,HS:-0.5,-20
B3-3,90,2,10,100,HS:-0.5,-10
B3-5,100,1.5,20,110,HS:-0.5,0
B3-7,60,2,-10,120,HS:-0.5,10
B3-9,70,1,30,130,HS:-0.5,20
B1-3,80,0.5,-30,140,HS:-0.5,30
B1-5,10,1,-10,150,HS:-0.5,40
B1-7,20,3,0,50,HS:-0.5,50
B1-9,10,3,10,60,HS:-0.5,60
B2-3,20,0.5,0,70,HS:-0.5,70
B2-5,30,2,30,80,HS:-0.5,80
B2-7,40,2.5,-30,90,HS:-0.5,90
B2-9,80,1.5,-20,100,HS:-0.5,100
B3-3,90,0.5,0,110,HS:-0.4,-100
B3-5,100,2,30,120,HS:-0.4,-90
B3-7,10,2.5,20,130,HS:-0.4,-80
B3-9,50,3,-30,140,HS:-0.4,-70
B1-3,60,1,-10,150,HS:-0.4,-60
B1-5,70,1.5,10,50,HS:-0.4,-50
B1-7,80,2,-20,60,HS:-0.4,-40
B1-9,20,0.5,20,70,HS:-0.4,-30
B2-3,30,2.5,30,80,HS:-0.4,-20
B2-5,40,1,-30,90,HS:-0.4,-10
B2-7,50,1,-20,100,HS:-0.4,0
B2-9,20,1,10,110,HS:-0.4,10
B3-3,30,1.5,-30,120,HS:-0.4,20
B3-5,40,3,20,130,HS:-0.4,30
B3-7,90,3,30,140,HS:-0.4,40
B3-9,90,3,-20,150,HS:-0.4,50
B1-3,100,3,-10,50,HS:-0.4,60
B1-5,60,2,20,60,HS:-0.4,70
B1-7,90,2,-30,70,HS:-0.4,80
B1-9,100,1,0,80,HS:-0.4,90
B2-3,10,2.5,10,90,HS:-0.4,100
B2-5,50,3,-10,100,HS:-0.3,-100
B2-7,60,0.5,0,110,HS:-0.3,-90
B2-9,20,1.5,10,120,HS:-0.3,-80
B3-3,30,2,20,130,HS:-0.3,-70
B3-5,40,2.5,30,140,HS:-0.3,-60
B3-7,80,1,-30,150,HS:-0.3,-50
B3-9,70,0.5,-20,50,HS:-0.3,-40
B1-3,80,1.5,-10,60,HS:-0.3,-30
B1-5,90,3,-20,70,HS:-0.3,-20
B1-7,100,2.5,-30,80,HS:-0.3,-10
B1-9,10,3,0,90,HS:-0.3,0
B2-3,20,1.5,0,100,HS:-0.3,10
B2-5,10,2.5,10,110,HS:-0.3,20
B2-7,30,2,-20,120,HS:-0.3,30
B2-9,50,1.5,30,130,HS:-0.3,40
B3-3,60,0.5,-20,140,HS:-0.3,50
B3-5,50,3,0,150,HS:-0.3,60
B3-7,70,2.5,-10,50,HS:-0.3,70
B3-9,60,2.5,30,60,HS:-0.3,80
B1-3,70,0.5,-20,70,HS:-0.3,90
B1-5,40,3,-10,80,HS:-0.3,100
B1-9,100,3,30,90,HS:-0.2,-100
B2-3,80,0.5,20,100,HS:-0.2,-90
B2-5,90,1.5,-30,110,HS:-0.2,-80
B2-7,20,2,-10,120,HS:-0.2,-70
B2-9,50,2.5,10,130,HS:-0.2,-60
B3-3,60,1,0,140,HS:-0.2,-50
B3-5,10,3,10,150,HS:-0.2,-40
B3-7,40,3,-20,50,HS:-0.2,-30
B3-9,70,3,-10,60,HS:-0.2,-20
B1-3,80,1.5,10,70,HS:-0.2,-10
B1-5,30,3,0,80,HS:-0.2,0
B1-7,100,2,0,90,HS:-0.2,10
B1-9,20,1,-30,100,HS:-0.2,20
B2-3,100,1.5,0,110,HS:-0.2,30
B2-5,30,2,30,120,HS:-0.2,40
B2-7,40,2.5,20,130,HS:-0.2,50
B2-9,60,0.5,30,140,HS:-0.2,60
B3-3,80,2,-30,150,HS:-0.2,70
B3-5,50,0.5,30,50,HS:-0.2,80
B3-7,60,2.5,10,60,HS:-0.2,90
B3-9,70,2.5,20,70,HS:-0.2,100
B1-3,70,3,30,80,HS:-0.1,-100
B1-5,10,0.5,-30,90,HS:-0.1,-90
B1-7,30,1.5,-10,100,HS:-0.1,-80
B1-9,40,2,20,110,HS:-0.1,-70
B2-3,90,2.5,-20,120,HS:-0.1,-60
B2-5,100,1,0,130,HS:-0.1,-50
B2-7,60,3,10,140,HS:-0.1,-40
B2-9,50,1,-10,150,HS:-0.1,-30
B3-3,80,2.5,-30,50,HS:-0.1,-20
B3-5,20,0.5,30,60,HS:-0.1,-10
B3-7,90,2,20,70,HS:-0.1,0
B3-9,10,1.5,30,80,HS:-0.1,10
B1-3,90,0.5,0,90,HS:-0.1,20
B1-5,20,2.5,0,100,HS:-0.1,30
B1-7,40,3,30,110,HS:-0.1,40
B1-9,50,0.5,-10,120,HS:-0.1,50
B2-3,70,0.5,10,130,HS:-0.1,60
B2-5,40,2.5,-30,140,HS:-0.1,70
B2-7,70,2,20,150,HS:-0.1,80
B2-9,80,1,-10,50,HS:-0.1,90
B3-3,90,2,30,60,HS:-0.1,100
B3-5,100,3,-30,70,HS:0.0,-100
B3-7,10,0.5,-10,80,HS:0.0,-90
