Blur,Brightness,Contrast,Rotation,Scaling,Shearing,Translation
B1-3,10,1.4,6,2.0,HS:0.2,20
B1-3,20,1.6,9,2.5,HS:0.3,30
B1-3,30,1.8,12,3.0,HS:0.4,40
B1-3,40,2.0,15,3.5,HS:0.5,50
B1-3,50,2.2,18,4.0,HS:0.6,60
B1-3,60,2.4,21,4.5,HS:0.7,70
B1-3,70,2.6,24,5.0,HS:0.8,80
B1-3,80,2.8,27,5.5,HS:0.9,90
B1-3,90,3.0,30,6.0,HS:1.0,100
B1-3,100,1.2,3,1.5,HS:0.1,10
B1-5,10,1.6,12,3.5,HS:0.6,70
B1-5,20,1.8,15,4.0,HS:0.7,80
B1-5,30,2.0,18,4.5,HS:0.8,90
B1-5,40,2.2,21,5.0,HS:0.9,100
B1-5,50,2.4,24,5.5,HS:1.0,10
B1-5,60,2.6,27,6.0,HS:0.1,20
B1-5,70,2.8,30,1.5,HS:0.2,30
B1-5,80,3.0,3,2.0,HS:0.3,40
B1-5,90,1.2,6,2.5,HS:0.4,50
B1-5,100,1.4,9,3.0,HS:0.5,60
B1-7,10,1.8,18,5.0,HS:1.0,30
B1-7,20,2.0,21,5.5,HS:0.1,40
B1-7,30,2.2,24,6.0,HS:0.2,50
B1-7,40,2.4,27,1.5,HS:0.3,60
B1-7,50,2.6,30,2.0,HS:0.4,70
B1-7,60,2.8,3,2.5,HS:0.5,80
B1-7,70,3.0,6,3.0,HS:0.6,90
B1-7,80,1.2,9,3.5,HS:0.7,100
B1-7,90,1.4,12,4.0,HS:0.8,10
B1-7,100,1.6,15,4.5,HS:0.9,20
B1-9,10,2.0,24,1.5,HS:0.4,100
B1-9,20,2.2,27,2.0,HS:0.5,10
B1-9,30,2.4,30,2.5,HS:0.6,20
B1-9,40,2.6,3,3.0,HS:0.7,30
B1-9,50,2.8,6,3.5,HS:0.8,40
B1-9,60,3.0,9,4.0,HS:0.9,50
B1-9,70,1.2,12,4.5,HS:1.0,60
B1-9,80,1.4,15,5.0,HS:0.1,70
B1-9,90,1.6,18,5.5,HS:0.2,80
B1-9,100,1.8,21,6.0,HS:0.3,90
B2-3,10,2.2,30,3.0,HS:0.8,50
B2-3,20,2.4,3,3.5,HS:0.9,60
B2-3,30,2.6,6,4.0,HS:1.0,70
B2-3,40,2.8,9,4.5,HS:0.1,80
B2-3,50,3.0,12,5.0,HS:0.2,90
B2-3,60,1.2,15,5.5,HS:0.3,100
B2-3,70,1.4,18,6.0,HS:0.4,10
B2-3,80,1.6,21,1.5,HS:0.5,20
B2-3,90,1.8,24,2.0,HS:0.6,30
B2-3,100,2.0,27,2.5,HS:0.7,40
B2-5,10,2.4,9,6.0,HS:0.8,40
B2-5,20,2.6,12,1.5,HS:0.9,50
B2-5,30,2.8,15,2.0,HS:1.0,60
B2-5,40,3.0,18,2.5,HS:0.1,70
B2-5,50,1.2,21,3.0,HS:0.2,80
B2-5,60,1.4,24,3.5,HS:0.3,90
B2-5,70,1.6,27,4.0,HS:0.4,100
B2-5,80,1.8,30,4.5,HS:0.5,10
B2-5,90,2.0,3,5.0,HS:0.6,20
B2-5,100,2.2,6,5.5,HS:0.7,30
B2-7,10,2.6,15,2.5,HS:0.2,10
B2-7,20,2.8,18,3.0,HS:0.3,20
B2-7,30,3.0,21,3.5,HS:0.4,30
B2-7,40,1.2,24,4.0,HS:0.5,40
B2-7,50,1.4,27,4.5,HS:0.6,50
B2-7,60,1.6,30,5.0,HS:0.7,60
B2-7,70,1.8,3,5.5,HS:0.8,70
B2-7,80,2.0,6,6.0,HS:0.9,80
B2-7,90,2.2,9,1.5,HS:1.0,90
B2-7,100,2.4,12,2.0,HS:0.1,100
B2-9,10,2.8,21,4.0,HS:0.3,10
B2-9,20,3.0,24,4.5,HS:0.4,20
B2-9,30,1.2,27,5.0,HS:0.5,30
B2-9,40,1.4,30,5.5,HS:0.6,40
B2-9,50,1.6,3,6.0,HS:0.7,50
B2-9,60,1.8,6,1.5,HS:0.8,60
B2-9,70,2.0,9,2.0,HS:0.9,70
B2-9,80,2.2,12,2.5,HS:1.0,80
B2-9,90,2.4,15,3.0,HS:0.1,90
B2-9,100,2.6,18,3.5,HS:0.2,100
B3-3,10,3.0,27,5.5,HS:0.5,60
B3-3,20,1.2,30,6.0,HS:0.6,70
B3-3,30,1.4,3,1.5,HS:0.7,80
B3-3,40,1.6,6,2.0,HS:0.8,90
B3-3,50,1.8,9,2.5,HS:0.9,100
B3-3,60,2.0,12,3.0,HS:1.0,10
B3-3,70,2.2,15,3.5,HS:0.1,20
B3-3,80,2.4,18,4.0,HS:0.2,30
B3-3,90,2.6,21,4.5,HS:0.3,40
B3-3,100,2.8,24,5.0,HS:0.4,50
B3-5,10,1.2,3,4.5,HS:0.9,90
B3-5,20,1.4,6,5.0,HS:1.0,100
B3-5,30,1.6,9,5.5,HS:0.1,10
B3-5,40,1.8,12,6.0,HS:0.2,20
B3-5,50,2.0,15,1.5,HS:0.3,30
B3-5,60,2.2,18,2.0,HS:0.4,40
B3-5,70,2.4,21,2.5,HS:0.5,50
B3-5,80,2.6,24,3.0,HS:0.6,60
B3-5,90,2.8,27,3.5,HS:0.7,70
B3-5,100,3.0,30,4.0,HS:0.8,80
B3-7,10,1.2,18,1.5,HS:0.7,20
B3-7,20,1.4,21,2.0,HS:0.8,30
B3-7,30,1.6,24,2.5,HS:0.9,40
B3-7,40,1.8,27,3.0,HS:1.0,50
B3-7,50,2.0,30,3.5,HS:0.1,60
B3-7,60,2.2,3,4.0,HS:0.2,70
B3-7,70,2.4,6,4.5,HS:0.3,80
B3-7,80,2.6,9,5.0,HS:0.4,90
B3-7,90,2.8,12,5.5,HS:0.5,100
B3-7,100,3.0,15,6.0,HS:0.6,10
B3-9,10,1.2,18,2.0,HS:0.7,50
B3-9,20,1.4,21,2.5,HS:0.8,60
B3-9,30,1.6,24,3.0,HS:0.9,70
B3-9,40,1.8,27,3.5,HS:1.0,80
B3-9,50,2.0,30,4.0,HS:0.1,90
B3-9,60,2.2,3,4.5,HS:0.2,100
B3-9,70,2.4,6,5.0,HS:0.3,10
B3-9,80,2.6,9,5.5,HS:0.4,20
B3-9,90,2.8,12,6.0,HS:0.5,30
B3-9,100,3.0,15,1.5,HS:0.6,40
B1-3,10,1.8,6,5.5,HS:0.1,50
B2-3,60,3.0,24,4.5,HS:0.1,30
B3-9,20,2.0,9,5.0,HS:0.2,40
B3-9,90,1.8,27,6.0,HS:0.2,60
B3-9,30,2.2,12,1.5,HS:0.3,70
B3-5,80,3.0,30,3.5,HS:0.3,50
B2-5,40,2.4,3,2.0,HS:0.4,80
B2-5,40,1.6,15,4.0,HS:0.4,60
B3-3,50,2.6,6,2.5,HS:0.5,90
B2-3,100,2.2,18,2.0,HS:0.5,70
B3-3,60,2.8,9,3.0,HS:0.6,100
B2-9,10,2.8,21,3.5,HS:0.6,80
B3-9,70,3.0,12,3.5,HS:0.7,10
B3-3,20,1.2,24,3.0,HS:0.7,90
B3-7,80,1.2,15,4.0,HS:0.8,20
B1-3,30,1.8,27,4.0,HS:0.8,100
B2-5,90,1.4,18,5.0,HS:0.9,10
B3-9,30,1.6,30,4.0,HS:0.9,30
B2-5,100,1.6,3,5.5,HS:1.0,40
B1-9,50,1.2,21,4.0,HS:1.0,20
B3-9,40,1.2,27,2.0,HS:0.5,10
B2-3,70,1.6,9,6.0,HS:0.8,40
