File name,cnn_covered_neurons,cnn_total_neurons ,lstm_covered_neurons,lstm_total_neurons,Predicted Steering Angle
1479425468287290727.jpg,125,1427,504,513,0.27407005429267883
1479425470287629689.jpg,158,1427,504,513,0.2613540291786194
1479425488540828515.jpg,310,1427,504,513,0.33642804622650146
1479425496442340584.jpg,244,1427,504,513,0.28151604533195496
1479425499292775434.jpg,276,1427,505,513,0.31425049901008606
1479425527947728896.jpg,159,1427,505,513,0.29536521434783936
1479425534498905778.jpg,233,1427,505,513,0.1803637444972992
1479425535099058605.jpg,165,1427,505,513,0.13266797363758087
1479425537999541591.jpg,151,1427,505,513,0.08900340646505356
1479425619063583545.jpg,317,1427,505,513,0.03261352702975273
1479425652219428572.jpg,244,1427,505,513,0.05884867534041405
1479425653569688917.jpg,323,1427,505,513,0.12182718515396118
1479425654069742649.jpg,207,1427,505,513,0.1806119829416275
1479425654520220380.jpg,199,1427,505,513,0.2374909520149231
1479425660020827157.jpg,289,1427,505,513,0.2316429316997528
1479425660620933516.jpg,390,1427,505,513,0.1536075323820114
1479425706078866287.jpg,109,1427,505,513,0.13535070419311523
1479425712029955155.jpg,138,1427,506,513,0.10470899939537048
1479425719031130839.jpg,254,1427,506,513,0.08653019368648529
