File name,cnn_covered_neurons,cnn_total_neurons ,lstm_covered_neurons,lstm_total_neurons,Predicted Steering Angle
1479425441182877835.jpg,139,1427,15,513,-0.019914278760552406
1479425441232704425.jpg,164,1427,26,513,-0.020609617233276367
1479425441282730750.jpg,185,1427,23,513,-0.0200326070189476
1479425441332806714.jpg,175,1427,17,513,-0.015453123487532139
1479425441382790272.jpg,170,1427,14,513,-0.011744859628379345
1479425441432724303.jpg,157,1427,14,513,-0.012562182731926441
1479425441482746958.jpg,151,1427,14,513,-0.011299698613584042
1479425441532802506.jpg,138,1427,14,513,-0.0107501782476902
1479425441582725165.jpg,213,1427,13,513,-0.01310290489345789
1479425441632720892.jpg,166,1427,11,513,-0.01437473762780428
1479425441682732948.jpg,226,1427,12,513,-0.014456849545240402
1479425441732800574.jpg,210,1427,12,513,-0.011150128208100796
1479425441782737331.jpg,202,1427,12,513,-0.008497362025082111
1479425441832816004.jpg,217,1427,12,513,-0.0057669105008244514
1479425441882830087.jpg,216,1427,12,513,-0.0052216495387256145
1479425441932849879.jpg,194,1427,12,513,-0.0064993673004209995
1479425441982783223.jpg,133,1427,12,513,-0.006899511907249689
1479425442032874172.jpg,145,1427,12,513,-0.0016565797850489616
1479425442082758552.jpg,142,1427,12,513,-0.0005074619548395276
1479425442132852121.jpg,163,1427,489,513,0.0052203224040567875
1479425442182761838.jpg,169,1427,32,513,0.007588286884129047
1479425442232828524.jpg,142,1427,32,513,0.008122298866510391
1479425442282862682.jpg,166,1427,21,513,0.00802693236619234
1479425442332893792.jpg,158,1427,497,513,0.010652218945324421
1479425442382858459.jpg,169,1427,506,513,0.015366134233772755
1479425442432797491.jpg,201,1427,506,513,0.021905310451984406
1479425442482899263.jpg,221,1427,506,513,0.027049284428358078
1479425442532771570.jpg,193,1427,505,513,0.0296198520809412
1479425442582809345.jpg,188,1427,505,513,0.027803044766187668
1479425442632821093.jpg,215,1427,505,513,0.02610432542860508
1479425442682747552.jpg,228,1427,505,513,0.024690331891179085
1479425442732806572.jpg,224,1427,505,513,0.023950979113578796
1479425442782862182.jpg,213,1427,505,513,0.02501676045358181
1479425442832833025.jpg,226,1427,505,513,0.024781346321105957
1479425442882822631.jpg,202,1427,505,513,0.02803853712975979
1479425442932809867.jpg,203,1427,505,513,0.029611099511384964
1479425442982805056.jpg,229,1427,505,513,0.028614656999707222
1479425443032823520.jpg,213,1427,505,513,0.025800252333283424
1479425443082812203.jpg,225,1427,505,513,0.014196759089827538
1479425443132827444.jpg,194,1427,505,513,0.007955432869493961
1479425443182854411.jpg,192,1427,505,513,0.0028192379977554083
1479425443232861030.jpg,190,1427,505,513,-0.002370459260419011
1479425443282879357.jpg,192,1427,506,513,-0.0004194869252387434
1479425443332896491.jpg,176,1427,506,513,0.0021633529104292393
1479425443382879593.jpg,180,1427,507,513,0.00612317631021142
1479425443432903742.jpg,183,1427,507,513,0.005461876280605793
1479425443483016593.jpg,184,1427,507,513,0.010082856751978397
1479425443533017775.jpg,183,1427,507,513,0.016432566568255424
1479425443582977575.jpg,173,1427,507,513,0.02074737846851349
1479425443632945821.jpg,161,1427,507,513,0.01926407217979431
1479425443682982187.jpg,122,1427,507,513,0.007948404178023338
1479425443732869219.jpg,105,1427,507,513,-0.004255468025803566
1479425443782898808.jpg,121,1427,507,513,-0.016800150275230408
1479425443833012205.jpg,118,1427,507,513,-0.028757553547620773
1479425443882914607.jpg,122,1427,507,513,-0.036051925271749496
